seed_index,seed,missing_before,best_additional,missing_after,can_complete,num_best_rows,best_rows
1,0 0 0 0 1 0 1 1 1 0 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
2,0 0 0 0 1 1 0 1 1 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
3,0 0 0 1 0 0 1 1 1 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
4,0 0 0 1 0 1 0 1 1 0 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
5,0 0 0 1 0 1 1 1 0 1 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
6,0 0 0 1 0 1 1 1 1 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
7,0 0 0 1 1 0 1 1 0 1 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
8,0 0 0 1 1 0 1 1 1 0 1 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
9,0 0 1 0 0 0 1 0 1 1 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
10,0 0 1 0 0 1 0 1 0 1 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
11,0 0 1 0 0 1 1 1 0 1 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
12,0 0 1 0 0 1 1 1 1 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
13,0 0 1 0 1 0 1 1 0 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
14,0 0 1 0 1 0 1 1 1 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
15,0 0 1 0 1 1 1 0 1 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
16,0 0 1 0 1 1 1 1 0 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
17,0 0 1 1 0 1 1 0 1 0 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
18,0 0 1 1 0 1 1 1 0 1 0 0,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
19,0 0 1 1 1 0 1 0 1 0 0 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
20,0 0 1 1 1 1 0 1 0 0 0 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
21,0 1 0 0 0 0 1 1 0 1 1 1,76,28,48,0,1,1 1 1 1 1 1 1 1 1 1 1 1
22,0 1 0 0 0 1 0 0 1 1 1 1,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
23,0 1 0 0 0 1 0 1 1 1 1 0,76,28,48,0,1,0 0 0 0 0 0 0 0 0 0 0 0
