t,k,v,method,N,covered,total,coverage_pct,valid
2,5,2,random,4,30,40,75.0,1
2,5,2,position,5,35,40,87.5,1
2,5,2,full,5,33,40,82.5,1
2,6,2,random,4,40,60,66.7,1
2,6,2,position,6,60,60,100.0,1
2,6,2,full,6,51,60,85.0,1
2,7,2,random,4,57,84,67.9,1
2,7,2,position,7,77,84,91.7,1
2,7,2,full,7,75,84,89.3,1
2,8,2,random,4,82,112,73.2,1
2,8,2,position,8,104,112,92.9,1
2,8,2,full,8,104,112,92.9,1
2,9,2,random,4,99,144,68.8,1
2,9,2,position,9,135,144,93.8,1
2,9,2,full,9,143,144,99.3,1
2,10,2,random,4,135,180,75.0,1
2,10,2,position,10,180,180,100.0,1
2,10,2,full,10,180,180,100.0,1
2,11,2,random,4,150,220,68.2,1
2,11,2,position,11,220,220,100.0,1
2,11,2,full,11,217,220,98.6,1
2,12,2,random,4,170,264,64.4,1
2,12,2,position,12,258,264,97.7,1
2,12,2,full,12,258,264,97.7,1
2,13,2,random,4,240,312,76.9,1
2,13,2,position,13,312,312,100.0,1
2,13,2,full,13,305,312,97.8,1
2,14,2,random,4,253,364,69.5,1
2,14,2,position,14,364,364,100.0,1
2,14,2,full,14,364,364,100.0,1
2,15,2,random,4,305,420,72.6,1
2,15,2,position,15,420,420,100.0,1
2,15,2,full,15,417,420,99.3,1
2,5,3,random,9,53,90,58.9,1
2,5,3,position,5,50,90,55.6,1
2,5,3,full,5,42,90,46.7,1
2,6,3,random,9,86,135,63.7,1
2,6,3,position,6,81,135,60.0,1
2,6,3,full,6,81,135,60.0,1
2,7,3,random,9,119,189,63.0,1
2,7,3,position,7,126,189,66.7,1
2,7,3,full,7,113,189,59.8,1
2,8,3,random,9,168,252,66.7,1
2,8,3,position,8,180,252,71.4,1
2,8,3,full,8,172,252,68.3,1
2,9,3,random,9,222,324,68.5,1
2,9,3,position,9,225,324,69.4,1
2,9,3,full,9,261,324,80.6,1
2,10,3,random,9,253,405,62.5,1
2,10,3,position,10,275,405,67.9,1
2,10,3,full,10,313,405,77.3,1
2,11,3,random,9,321,495,64.8,1
2,11,3,position,11,297,495,60.0,1
2,11,3,full,11,358,495,72.3,1
2,12,3,random,9,413,594,69.5,1
2,12,3,position,12,450,594,75.8,1
2,12,3,full,12,450,594,75.8,1
2,13,3,random,9,449,702,64.0,1
2,13,3,position,13,546,702,77.8,1
2,13,3,full,13,555,702,79.1,1
2,14,3,random,9,501,819,61.2,1
2,14,3,position,14,672,819,82.1,1
2,14,3,full,14,699,819,85.3,1
2,15,3,random,9,646,945,68.4,1
2,15,3,position,15,795,945,84.1,1
2,15,3,full,15,765,945,81.0,1
2,5,4,random,16,110,160,68.8,1
2,5,4,position,5,45,160,28.1,1
2,5,4,full,5,46,160,28.8,1
2,6,4,random,16,158,240,65.8,1
2,6,4,position,6,72,240,30.0,1
2,6,4,full,6,77,240,32.1,1
2,7,4,random,16,224,336,66.7,1
2,7,4,position,7,112,336,33.3,1
2,7,4,full,7,124,336,36.9,1
2,8,4,random,16,299,448,66.7,1
2,8,4,position,8,156,448,34.8,1
2,8,4,full,8,196,448,43.8,1
2,9,4,random,16,378,576,65.6,1
2,9,4,position,9,216,576,37.5,1
2,9,4,full,9,248,576,43.1,1
2,10,4,random,16,449,720,62.4,1
2,10,4,position,10,350,720,48.6,1
2,10,4,full,10,337,720,46.8,1
2,11,4,random,16,610,880,69.3,1
